"Reaction ID","Reaction Name","Flux","Subsystem"
"DHPM1","Dihydropyrimidinase (5,6-dihydrouracil)",461.017270647865,"Pyrimidine catabolism"
"EX_M01111_e","EX M01111[e]",100,"Exchange/demand reaction"
"PRPPS","Phosphoribosylpyrophosphate synthetase",897.432047068668,"Pentose phosphate pathway"
"GGH_5DHFe","Gamma-glutamyl hydrolase (5DHF), extracellular",0.562879011650153,"Folate metabolism"
"EX_fvs_e","Exchange reaction for fluvastatin in intestinal lumen",-100,"Exchange/demand reaction"
"C160CRNt","C160 transport into the mitochondria",-176.601721650642,"Fatty acid oxidation"
"R00100","R01803",-500,NA
"LDH_Lm","L-lactate dehydrogenase, mitochondria",374.773412914905,"Pyruvate metabolism"
"DATPtn","DATP diffusion in nucleus",2.323176193642,"Transport, nuclear"
"DEOXFVShc","Formation of deoxy-fluvastatin-dinor",100,"Drug metabolism"
"PHPYRte","Transport of Phenylpyruvate via Proton Symport",100,"Transport, extracellular"
"AKGDm","2-oxoglutarate dehydrogenase",726.878433814135,"Citric acid cycle"
"GK1","Guanylate kinase (GMP:ATP)",8.10900042102985,"Nucleotide interconversion"
"HMR_8476","HMR 8476",218.726057648563,"Transport, nuclear"
"HMR_8579","Alpha-Amylase",100,"Starch and sucrose metabolism"
"PPM","Phosphopentomutase",900,"Pentose phosphate pathway"
"NDPK3m","ATP:CDP phosphotransferase, mitochondria",2.56795293133211,"Nucleotide interconversion"
"TPI","Triose-phosphate isomerase",269.063372520846,"Glycolysis/gluconeogenesis"
"DUTCP","DUTP:cytidine 5'-phosphotransferase",-100,"Nucleotide interconversion"
"PGMT","Phosphoglucomutase",336.344447614674,"Glycolysis/gluconeogenesis"
"ORNt4m","Ornithine mitochondrial transport exchange with citruline",-100,"Transport, mitochondrial"
"AMACR2p","Alpha-methylacyl-CoA racemase (reductase)",18.0119846076977,"Bile acid synthesis"
"SSALxm","Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",-1000,"Glutamate metabolism"
"GSNt","Guanosine facilated transport in cytosol",-100,"Transport, extracellular"
"CSNATm","Carnitine O aceyltransferase  mitochondrial",-900,"Fatty acid oxidation"
"UMPK2","UMP kinase (CTP)",100,"Nucleotide interconversion"
"RE0915E","Alpha-Amylase",-200,"Starch and sucrose metabolism"
"GCC2cm","Glycine cleavage complex  lipoamide   mitochondrial",98.941790794426,"Glycine, serine, alanine, and threonine metabolism"
"GLPASE2","Glycogen phosphorylase (amyls -> glc-D)",112.114815871558,"Starch and sucrose metabolism"
"O2St","Superoxide anion transport via diffusion (extracellular)",-100,"Transport, extracellular"
"HMR_3116","Enoyl Coenzyme A Hydratase",176.601721650642,"Fatty acid oxidation"
"ACONTm","Aconitate hydratase",-604.572124827255,"Citric acid cycle"
"DAGK_hs","Diacylglycerol phosphate kinase (homo sapiens)",16.901769576841,"Glycerophospholipid metabolism"
