"Reaction ID","Reaction Name","Flux","Subsystem"
"DHPM1","Dihydropyrimidinase (5,6-dihydrouracil)",483.634039346739,"Pyrimidine catabolism"
"CYTK10","Cytidylate kinase (CMP,dGTP)",-100,"Nucleotide interconversion"
"PRPPS","Phosphoribosylpyrophosphate synthetase",1000,"Pentose phosphate pathway"
"EX_fvs_e","Exchange reaction for fluvastatin in intestinal lumen",-100,"Exchange/demand reaction"
"R00100","R01803",-500,NA
"LDH_Lm","L-lactate dehydrogenase, mitochondria",752.063423244033,"Pyruvate metabolism"
"DATPtn","DATP diffusion in nucleus",2.25786159015146,"Transport, nuclear"
"DEOXFVShc","Formation of deoxy-fluvastatin-dinor",100,"Drug metabolism"
"PHPYRte","Transport of Phenylpyruvate via Proton Symport",100,"Transport, extracellular"
"AKGDm","2-oxoglutarate dehydrogenase",889.447311256036,"Citric acid cycle"
"GK1","Guanylate kinase (GMP:ATP)",7.88102109313646,"Nucleotide interconversion"
"HMR_8476","HMR 8476",109.169152025584,"Transport, nuclear"
"HMR_8579","Alpha-Amylase",100,"Starch and sucrose metabolism"
"PPM","Phosphopentomutase",890.355747087808,"Pentose phosphate pathway"
"BUTt","Butyrate transport (diffusion)",-19.535431793676,"Transport, extracellular"
"TPI","Triose-phosphate isomerase",231.114869727563,"Glycolysis/gluconeogenesis"
"DUTCP","DUTP:cytidine 5'-phosphotransferase",-100,"Nucleotide interconversion"
"PGMT","Phosphoglucomutase",336.376935226275,"Glycolysis/gluconeogenesis"
"AMACR2p","Alpha-methylacyl-CoA racemase (reductase)",136.748022555732,"Bile acid synthesis"
"SSALxm","Succinate-semialdehyde:NAD+ oxidoreductase, mitochondria",-1000,"Glutamate metabolism"
"GSNt","Guanosine facilated transport in cytosol",-100,"Transport, extracellular"
"CSNATm","Carnitine O aceyltransferase  mitochondrial",-483.634039346739,"Fatty acid oxidation"
"UMPK2","UMP kinase (CTP)",100,"Nucleotide interconversion"
"HMR_1102","Carbonyl Reductase (NADPH)",470.782778628378,"Leukotriene metabolism"
"RE0915E","Alpha-Amylase",-200,"Starch and sucrose metabolism"
"r2102","Major Facilitator(MFS) TCDB:2.A.1.13.1",-19.535431793676,"Transport, extracellular"
"GCC2cm","Glycine cleavage complex  lipoamide   mitochondrial",55.2763443719818,"Glycine, serine, alanine, and threonine metabolism"
"GLPASE2","Glycogen phosphorylase (amyls -> glc-D)",112.125645075425,"Starch and sucrose metabolism"
"O2St","Superoxide anion transport via diffusion (extracellular)",-100,"Transport, extracellular"
"ACONTm","Aconitate hydratase",-470.782778628378,"Citric acid cycle"
"DAGK_hs","Diacylglycerol phosphate kinase (homo sapiens)",2.99483939660076,"Glycerophospholipid metabolism"
"r1454","TCDB:2.A.1.13.5 TCDB:2.A.1.13.1",19.535431793676,"Transport, mitochondrial"
"CLS_hs","Cardiolipin synthase (homo sapiens)",1.99667377819808,"Glycerophospholipid metabolism"
"CHAT","Choline O-acetyltransferase",583.634039346739,"Glycerophospholipid metabolism"
"CYTK12n","Cytidylate kinase (dCMP,dCTP),nuclear",-109.169152025584,"Nucleotide interconversion"
"LDH_D","D-lactate dehydrogenase",100,"Pyruvate metabolism"
"GLPASE1","Glycogen phosphorylase (glygn2 -> dxtrn)",112.125645075425,"Starch and sucrose metabolism"
"GAPD","Glyceraldehyde-3-phosphate dehydrogenase",1000,"Glycolysis/gluconeogenesis"
"DCK2n","Deoxycytidine kinase, nuclear (UTP)",109.169152025584,"Nucleotide interconversion"
"D_LACt2","D lactate transport via proton symport",100,"Transport, extracellular"
"PGPPT","Phosphatidyl-CMP: glycerophosphate phosphatidyltransferase",2.49575658739942,"Glycerophospholipid metabolism"
"ACRNtp","Acetylcarnitine transport out of peroxisome",-483.634039346739,"Transport, peroxisomal"
"2HBO","2 HydroxybutyrateNAD oxidoreductase",-19.535431793676,"Propanoate metabolism"
"TRDR","Thioredoxin reductase (NADPH)",1000,"Nucleotide interconversion"
"DURAD","Dihydrouracil dehydrogenase (NADP)",-483.634039346739,"Pyrimidine catabolism"
"r0641","(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase Arachidonic acid metabolism EC:2.3.2.2",100,"Fatty acid oxidation"
"PCm","Pyruvate carboxylase",752.063423244033,"Pyruvate metabolism"
