reaction_id,reaction_name,subsystem,genes,minimum,maximum
UAGDP,UDP-N-acetylglucosamine diphosphorylase,Aminosugar metabolism,107652;227620,0.0,0.0
AMY1e,"Alpha-amylase, extracellular (strch1 -> strch2)",Starch and sucrose metabolism,11722;30962;100043684;100043686;100043688;20532;17254;109959,0.0,0.0
EX_n5m2masn_e,EX n5m2masn[e],Exchange/demand reaction,,-100.0,0.0
BTNt2i,Biotin uptake,"Transport, extracellular",20501,-1000.0,100.0
HMR_3708,Steryl-Ester Acylhydrolase,Cholesterol metabolism,12613;16889,0.0,0.0
EX_3octdece1crn_e,Exchange of 3-Hydroxy-Octadecenoyl Carnitine,Exchange/demand reaction,,0.0,0.0
NDP7ex,"Nucleoside-diphosphatase (UDP), extracellular",Nucleotide interconversion,72090;76025;215446;12495,0.0,0.0
r0795,Spontaneous reaction,Miscellaneous,,0.0,0.0
ACOAD8m,Isovaleryl-coa dehydrogenase,"Valine, leucine, and isoleucine metabolism",56357,0.0,0.0
HMR_3714,Steryl-Ester Acylhydrolase,Cholesterol metabolism,12613;16889,0.0,0.0
DHPM1,"Dihydropyrimidinase (5,6-dihydrouracil)",Pyrimidine catabolism,22240;12934;64705,502.75502341694227,502.75502341687184
ARGORNt7,Arginine/ornithine antiporter,"Transport, extracellular",330836,-1000.0,1000.0
RE1526M,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,15488;15107;15108;74147,0.0,0.0
PE17_HSABCt,Transport of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe),"Transport, extracellular",50770;320940,0.0,0.0
EX_M01111_e,EX M01111[e],Exchange/demand reaction,,0.0,-5.184119800105691e-11
HMR_0272,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171210;217700;70025;171282;171281;12012,0.0,0.0
NTD6,5'-nucleotidase (dAMP),Nucleotide interconversion,76952;70881;107569;23959;50773;230718,0.0,31.32939950116088
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotide interconversion,66588,-1000.0,1000.0
PRPPS,Phosphoribosylpyrophosphate synthetase,Pentose phosphate pathway,110639;19139,1000.0000000000024,1000.0
DPGase,Diphosphoglycerate phosphatase,Glycolysis/gluconeogenesis,18648;12183;56012,0.0,0.0
AMY2e,"Alpha-amylase, extracellular (glygn2 -> glygn4)",Starch and sucrose metabolism,11722;30962;100043684;100043686;100043688;20532;17254;109959,0.0,-3.552713678800501e-13
HMR_0003,Triacylglycerol Lipase,Glycerophospholipid metabolism,18946;18947;67717;69060;67758;231871;15450;66853;116939;269060;16890;16891;12613,0.0,0.0
PHYTt,Fatty acid transport via diffusion,"Transport, extracellular",,0.0,0.0
HISDC,Histidine decarboxylase,Histidine metabolism,13195;15186,0.0,-2.6716406864579767e-12
EBP2r,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",Cholesterol metabolism,13595,0.0,0.0
ACS2,Acetyl-CoA synthase (propionate),Propanoate metabolism,78894;60525,0.0,0.0
EX_fvs_e,Exchange reaction for fluvastatin in intestinal lumen,Exchange/demand reaction,,-100.0,-100.00000000000182
C160CRNt,C160 transport into the mitochondria,Fatty acid oxidation,57279,-1000.0,1000.0
ACGAMtly,N-acetyl-glucosamine lysosomal efflux,"Transport, lysosomal",,0.0,1000.0
GLUDym,"Glutamate dehydrogenase (NADP), mitochondrial",Glutamate metabolism,14661,-1000.0,302.75502341684614
C4DCCACT,Transport of succinyl carnitine into cytosol,Fatty acid oxidation,57279,0.0,0.0
R00100,R01803,,12764,-500.0,-500.0
EX_aracheth_e,Exchange of O-Arachidonoyl Ethanolamine,Exchange/demand reaction,,0.0,0.0
HMR_2964,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,433256;14081;216739;26458;74205;50790;94180;328845,0.0,0.0
GLUDC,Glutamate Decarboxylase,Glutamate metabolism,14417;14415,0.0,-9.094947017729282e-13
ACOADH120_m,Acyl-CoA dehydrogenase (12:0),Fatty acid oxidation,11364;229211;11370;11363,0.0,-8.29913915367797e-12
HMR_0389,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,433256;14081;216739;26458;74205;50790;94180;328845,0.0,0.0
CHSTEROLt1,Cholesterol intracellular transport,"Transport, mitochondrial",59045,-1000.0,1000.0
MTHFD2i,Methylenetetrahydrofolate dehydrogenase  NAD,Folate metabolism,665563;17768,-1000.0,1000.0
OCT11EFATP_1,Uptake of Vaccenic Acid,Fatty acid oxidation,26568;26569;26457;26458;26459;225579,0.0,0.0
RE3113C,RE3113,Fatty acid oxidation,,0.0,0.0
HMR_2673,HMR 2673,"Transport, mitochondrial",207151;236149;20517;236293;434674;319800;57279;214663;30805;171405,-1000.0,1000.0
HMR_2193,Very-Long-Chain (3R)-3-Hydroxyacyl Coenzyme A Dehydratase,Fatty acid synthesis,67044;70757;30963;57874;66775,0.0,0.0
LDH_Lm,"L-lactate dehydrogenase, mitochondria",Pyruvate metabolism,52815;16832;16828,704.6276091511029,704.627609151092
PPMI12346Ptn,5-diphosphatidylinositol pentakisphosphate nuclear transport (diffusion),"Transport, nuclear",,0.0,0.0
NABTNO,N4 AcetylaminobutanalNAD oxidoreductase,Arginine and proline metabolism,11671;19378;11668;110695;56752,0.0,0.0
UMPK5n,"UMP kinase (dATP),nuclear",Nucleotide interconversion,66588,-1000.0,1000.0
HMR_2884,HMR 2884,"Transport, endoplasmic reticular",20520,-1000.0,1000.0
ACNMCT,CTP:N-acylneuraminate cytidylyltransferase,Aminosugar metabolism,12764,0.0,0.0
r2113,Major Facilitator(MFS) TCDB:2.A.1.13.1,"Transport, extracellular",20501,-1000.0,1000.0
HOXG,Heme oxygenase 1,Heme degradation,15368;15369,0.0,0.0
HMR_0629,Phospholipase D,Glycerophospholipid metabolism,194908;18805;104759;18806;18807,0.0,0.0
GALASE20ly,"Beta-galactosidase, lysosomal",Keratan sulfate degradation,50917;18010;19025;12091,0.0,0.0
HMR_3072,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,15488;74147,0.0,0.0
PCHOLN201_HSABCt,"Transport of 1-Eicosenoylglycerophosphocholine (Delta 11) , Sn1-Lpc (20:1)","Transport, extracellular",54667;11303;54670;11982;18670,0.0,0.0
HSD17B4x,Hydroxysteroid (17-beta) dehydrogenase 4,Bile acid synthesis,15488,0.0,0.0
HMR_3235,Enoyl Coenzyme A Hydratase,Fatty acid oxidation,93747;97212,0.0,0.0
ALAPAT4te,Transport of Alanine via Pat4,"Transport, extracellular",234967,-1000.0,1000.0
DATPtn,DATP diffusion in nucleus,"Transport, nuclear",,2.2633675314316033,2.2633675314316406
HMR_7758,HMR 7758,"Transport, mitochondrial",13167,-1.2505552149377763e-12,0.0
r0221_1,Propinol Adenylate:Coa Ligase (AMP-Forming),Miscellaneous,380660;60525;68738,0.0,0.0
HMR_3625,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,223920;20652,0.0,0.0
HMR_1242,HMR 1242,"Transport, peroxisomal",,-999.999999999997,1000.0
HMR_0271,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,433256;14081;216739;26458;74205;50790;94180;328845,0.0,0.0
C226CPT1,Carnitine C22:6 transferase,Fatty acid oxidation,78070;12894;12895,0.0,0.0
r1664,Y+LAT2 Utilized transport,"Transport, extracellular",330836,-1000.0,1000.0
CPK1,Adenylate kinase,Nucleotide interconversion,66588,-1000.0,1000.0
SPTc,Serine-pyruvate aminotransferase,"Glycine, serine, alanine, and threonine metabolism",11611,0.0,0.0
HMR_2700,HMR 2700,"Transport, mitochondrial",207151;236149;20517;236293;434674;319800;57279;214663;30805;171405,0.0,0.0
MI4PP,1D-myo-Inositol 4-phosphate phosphohydrolase,Inositol phosphate metabolism,55980;114663,0.0,0.0
LDH_L,L-lactate dehydrogenase,Glycolysis/gluconeogenesis,54122;16832;16833;106557;16828,-1000.0,295.3723908488706
PCHOLSTE_HSABCt,Transport of 1-Stearoylglycerophosphocholine,"Transport, extracellular",54667;11303;54670;11982;18670,0.0,0.0
HMR_0298,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171210;217700;70025;171282;171281;12012,0.0,0.0
G5SDym,"Glutamate-5-semialdehyde dehydrogenase, mitochondria",Urea cycle,56454,0.0,0.0
ACACT1r,Acetyl-CoA C-acetyltransferase,Tryptophan metabolism,224530;110460,0.0,0.0
HEXA2l,"Hexosaminidase A, Lysosomal",Sphingolipid metabolism,15212;15211,0.0,0.0
MI14PP,"D-myo-Inositol-1,4-bisphosphate 1-phosphohydrolase",Inositol phosphate metabolism,16329,0.0,0.0
ADNtm,"Equilibrative nucleoside transporter, mitochondrial","Transport, mitochondrial",63959,0.0,0.0
r0358,Glycolysis / Glyconeogenesis EC:2.7.1.1,Fructose and mannose metabolism,15277;15275;212032,0.0,-3.4364430493124845e-12
