reaction_id,reaction_name,subsystem,genes,minimum,maximum
UAGDP,UDP-N-acetylglucosamine diphosphorylase,Aminosugar metabolism,227620;107652,0.0,0.0
AMY1e,"Alpha-amylase, extracellular (strch1 -> strch2)",Starch and sucrose metabolism,100043686;100043688;30962;20532;17254;109959;11722;100043684,0.0,9.094947017729282e-13
EX_n5m2masn_e,EX n5m2masn[e],Exchange/demand reaction,,-100.0,0.0
BTNt2i,Biotin uptake,"Transport, extracellular",20501,-1000.0,0.0
HMR_3708,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,1.8189894035458565e-12
EX_3octdece1crn_e,Exchange of 3-Hydroxy-Octadecenoyl Carnitine,Exchange/demand reaction,,0.0,0.0
NDP7ex,"Nucleoside-diphosphatase (UDP), extracellular",Nucleotide interconversion,76025;215446;72090;12495,0.0,9.094947017729282e-13
r0795,Spontaneous reaction,Miscellaneous,,0.0,0.0
ACOAD8m,Isovaleryl-coa dehydrogenase,"Valine, leucine, and isoleucine metabolism",56357,0.0,1.2412327180787665e-12
HMR_3714,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,0.0
DHPM1,"Dihydropyrimidinase (5,6-dihydrouracil)",Pyrimidine catabolism,64705;12934;22240,483.40154683305894,483.4015468330782
ARGORNt7,Arginine/ornithine antiporter,"Transport, extracellular",330836,-1000.0,1000.0
RE1526M,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,74147;15108;15107;15488,-7.386684652000422e-12,5.8548721426632255e-12
PE17_HSABCt,Transport of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe),"Transport, extracellular",320940;50770,0.0,0.0
HMR_0810,Globoside Alpha-N-Acetylgalactosaminyltransferase,Glycosphingolipid metabolism,227671,0.0,1.4779288903810084e-12
EX_M01111_e,EX M01111[e],Exchange/demand reaction,,0.0,7.117350789579234
HMR_0272,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171210;12012;171281;217700;171282;70025,0.0,2.7142732506035827e-12
NTD6,5'-nucleotidase (dAMP),Nucleotide interconversion,230718;70881;23959;76952;50773;107569,0.0,8.526512829121202e-12
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotide interconversion,66588,-1000.0,1000.0
PRPPS,Phosphoribosylpyrophosphate synthetase,Pentose phosphate pathway,19139;110639,999.9999999999956,1000.0
DPGase,Diphosphoglycerate phosphatase,Glycolysis/gluconeogenesis,56012;12183;18648,-3.637978807091713e-12,0.0
AMY2e,"Alpha-amylase, extracellular (glygn2 -> glygn4)",Starch and sucrose metabolism,100043686;100043688;30962;20532;17254;109959;11722;100043684,0.0,9.663381206337363e-13
HMR_0003,Triacylglycerol Lipase,Glycerophospholipid metabolism,18946;16890;18947;16891;67717;67758;69060;116939;231871;66853;15450;12613;269060,0.0,1.1823431123048067e-11
PHYTt,Fatty acid transport via diffusion,"Transport, extracellular",,0.0,0.0
GGH_5DHFe,"Gamma-glutamyl hydrolase (5DHF), extracellular",Folate metabolism,14590,0.0,100.0
EBP2r,"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",Cholesterol metabolism,13595,0.0,9.059419880941277e-13
ACS2,Acetyl-CoA synthase (propionate),Propanoate metabolism,78894;60525,0.0,0.0
r1900,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
r1779,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
EX_fvs_e,Exchange reaction for fluvastatin in intestinal lumen,Exchange/demand reaction,,-100.0,-99.99999999999625
C160CRNt,C160 transport into the mitochondria,Fatty acid oxidation,57279,-1000.0,1000.0
