reaction_id,reaction_name,subsystem,genes,minimum,maximum
UAGDP,UDP-N-acetylglucosamine diphosphorylase,Aminosugar metabolism,107652;227620,0.0,1.1368683772161603e-12
AMY1e,"Alpha-amylase, extracellular (strch1 -> strch2)",Starch and sucrose metabolism,17254;109959;20532;11722;30962;100043684;100043686;100043688,0.0,1.4400332778071363e-12
EX_n5m2masn_e,EX n5m2masn[e],Exchange/demand reaction,,-100.0,8.591107623281211e-13
BTNt2i,Biotin uptake,"Transport, extracellular",20501,-1000.0,100.0
HMR_3708,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,2.2737367544323206e-12
EX_3octdece1crn_e,Exchange of 3-Hydroxy-Octadecenoyl Carnitine,Exchange/demand reaction,,0.0,9.265477274311706e-12
NDP7ex,"Nucleoside-diphosphatase (UDP), extracellular",Nucleotide interconversion,72090;215446;76025;12495,0.0,1.0800249583553523e-12
r0795,Spontaneous reaction,Miscellaneous,,0.0,0.0
ACOAD8m,Isovaleryl-coa dehydrogenase,"Valine, leucine, and isoleucine metabolism",56357,0.0,0.0
HMR_3714,Steryl-Ester Acylhydrolase,Cholesterol metabolism,16889;12613,0.0,1.9326762412674725e-12
DHPM1,"Dihydropyrimidinase (5,6-dihydrouracil)",Pyrimidine catabolism,22240;64705;12934,483.63403934672965,483.63403934675273
ARGORNt7,Arginine/ornithine antiporter,"Transport, extracellular",330836,-1000.0,1000.0
RE1526M,3-Hydroxyacyl Coenzyme A Dehydrogenase,Fatty acid oxidation,15107;74147;15108;15488,-1.1937117960769683e-11,4.415281151183765e-12
PE17_HSABCt,Transport of 1-Heptadecanoylglycerophosphoethanolamine (C17:0 Pe),"Transport, extracellular",50770;320940,0.0,1.4691522385237226e-12
HMR_0810,Globoside Alpha-N-Acetylgalactosaminyltransferase,Glycosphingolipid metabolism,227671,0.0,1.8189894035458565e-12
EX_M01111_e,EX M01111[e],Exchange/demand reaction,,0.0,3.4094682632712647e-10
HMR_0272,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171210;217700;12012;70025;171281;171282,0.0,1.9773930122822857e-11
NTD6,5'-nucleotidase (dAMP),Nucleotide interconversion,76952;107569;23959;70881;230718;50773,0.0,3.281980018433142e-12
CYTK10,"Cytidylate kinase (CMP,dGTP)",Nucleotide interconversion,66588,-1000.0,1000.0
PRPPS,Phosphoribosylpyrophosphate synthetase,Pentose phosphate pathway,19139;110639,999.9999999999746,1000.0
DPGase,Diphosphoglycerate phosphatase,Glycolysis/gluconeogenesis,56012;18648;12183,0.0,0.0
AMY2e,"Alpha-amylase, extracellular (glygn2 -> glygn4)",Starch and sucrose metabolism,17254;109959;20532;11722;30962;100043684;100043686;100043688,0.0,1.6910917111090384e-12
HMR_0003,Triacylglycerol Lipase,Glycerophospholipid metabolism,116939;67717;12613;67758;69060;16890;16891;66853;18946;231871;18947;15450;269060,0.0,1.517719283583574e-11
