Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,expression
2900026A02Rik,3734.338049,0.266645136,0.091690691,2.908093875,0.003636392,0.129213115,upregulated
A830018L16Rik,4140.605882,0.277448915,0.09985776,2.778441197,0.00546204,0.162027441,upregulated
Aacs,2368.398533,0.27060772,0.087514266,3.092155518,0.001987087,0.090810717,upregulated
Abca3,5676.118697,0.39792351,0.074116481,5.368893752,7.9221070719587e-08,3.96059469029115e-05,upregulated
Acat2,2340.003913,0.453676042,0.087879872,5.162456812,2.43729618578693e-07,0.000105977,upregulated
Acsm4,7.684907691,5.79196782,1.661144799,3.486732659,0.00048896,0.038655904,upregulated
Acvr2a,2821.159055,0.35710908,0.114566358,3.11705012,0.001826705,0.086901451,upregulated
Adgrg6,308.4754296,0.843105851,0.224328629,3.758351549,0.000171036,0.019094835,upregulated
Ahcy,1377.480904,0.374679049,0.122866588,3.049478737,0.002292389,0.099676676,upregulated
Ak5,8180.286736,0.276178676,0.103479101,2.668931927,0.007609287,0.199568651,upregulated
Alad,1482.671801,0.664629273,0.194099883,3.424161115,0.0006167,0.045310866,upregulated
Angpt1,608.46245,0.443362469,0.136288904,3.253107607,0.001141503,0.069088086,upregulated
Anxa7,5051.283775,0.299185868,0.070001513,4.273991466,1.92004387594232e-05,0.003965611,upregulated
Aox2,14.04879607,3.478732387,1.338140254,2.599676961,0.009331155,0.217459352,upregulated
Apcdd1,1826.503625,0.422254725,0.114712417,3.680985334,0.000232334,0.023125667,upregulated
Aqp4,16000.87076,0.326897075,0.089986276,3.632743685,0.000280424,0.026476789,upregulated
Armcx5,1191.236266,0.457762557,0.115325346,3.969314399,7.20797253128736e-05,0.010447134,upregulated
Atg16l2,884.825234,0.486032569,0.146984841,3.306685001,0.00094407,0.060919329,upregulated
Atm,1319.04161,0.288503312,0.101278082,2.848625354,0.004390855,0.143948612,upregulated
Baiap2l2,156.145322,1.6206468,0.338390462,4.789280373,1.67380480676582e-06,0.000531851,upregulated
Bpifa6,8.068655978,5.858766205,1.892820318,3.095257457,0.001966421,0.090253274,upregulated
Bpifb9b,16.62902612,7.498783612,1.581560685,4.741382156,2.12265111596815e-06,0.000649492,upregulated
Btbd8,5202.846357,0.28054418,0.099324626,2.824517873,0.004735181,0.150750272,upregulated
C4a,174.6742732,1.942771097,0.312423325,6.218393252,5.02271466346146e-10,4.6105730213541e-07,upregulated
C4b,12607.06842,0.676676189,0.197477,3.426607606,0.000611172,0.045310866,upregulated
Caln1,13523.95154,0.26818003,0.102149808,2.625360095,0.008655737,0.212721659,upregulated
Camk2d,8700.366256,0.314199399,0.087188089,3.603696365,0.000313724,0.028798077,upregulated
Camk4,2406.078388,0.401778501,0.136629311,2.940646471,0.003275281,0.120797924,upregulated
Ccdc3,1084.808819,0.496842194,0.120779054,4.113645353,3.8945962015088e-05,0.006845789,upregulated
Ccdc74a,1476.486692,0.323150718,0.110391688,2.927310225,0.003419077,0.122717942,upregulated
Ccl17,50.05183848,1.589927173,0.510022838,3.117364661,0.001824757,0.086901451,upregulated
Ccl3,118.4468189,1.024287356,0.343852182,2.97885955,0.002893234,0.113821189,upregulated
Ccn2,1406.820051,0.444532075,0.1397421,3.181089132,0.001467225,0.077312437,upregulated
Cd209b,68.96678477,1.349349152,0.509748289,2.647089125,0.008118795,0.203419689,upregulated
Cdh13,3864.295104,0.316009603,0.120388105,2.624923803,0.008666836,0.212721659,upregulated
Cdh18,971.877393,0.392775565,0.15026763,2.613840154,0.008953091,0.214023291,upregulated
Cdnf,107.0219369,0.962371272,0.367325276,2.619942963,0.008794447,0.213761631,upregulated
Cfap92,157.2465425,1.295947504,0.438504995,2.955376833,0.003122874,0.119442686,upregulated
Chm,3054.526325,0.308769404,0.101062566,3.055230196,0.002248878,0.098562913,upregulated
Chpf2,1782.507924,0.266731808,0.102281984,2.607808314,0.009112397,0.216045345,upregulated
Ciart,652.8339242,0.636492619,0.161816727,3.933416727,8.37468606682542e-05,0.01172669,upregulated
Cirbp,3217.840793,0.333618508,0.098000395,3.404256781,0.000663444,0.047869334,upregulated
Cnot11,1671.748195,0.263755968,0.100484375,2.624845602,0.008668827,0.212721659,upregulated
Cnr1,8696.424028,0.256911366,0.09623465,2.669634753,0.00759338,0.199468065,upregulated
Col16a1,1417.345385,0.363428038,0.140364226,2.589178506,0.009620521,0.218666997,upregulated
Cracr2b,153.3792783,0.670177677,0.259439419,2.583175987,0.009789537,0.220506957,upregulated
Cripto,55.12142614,1.960039868,0.434869575,4.507190161,6.56917554448047e-06,0.001695976,upregulated
Cryl1,764.5652017,0.424945728,0.135184595,3.143447885,0.001669701,0.083317987,upregulated
Cryzl2,951.8069926,0.470238855,0.110192583,4.267427466,1.97740033895321e-05,0.004033653,upregulated
Cst7,902.4860554,2.830187999,0.430311725,6.577064565,4.79826459338701e-11,6.60681048971113e-08,upregulated
Ctse,253.9449431,2.546203855,0.878130946,2.899571944,0.003736726,0.130809154,upregulated
Cxcl5,121.9070684,1.525187684,0.48847878,3.12232127,0.00179431,0.086901451,upregulated
Cybrd1,488.5909629,0.759987286,0.207870345,3.656064005,0.000256117,0.025145621,upregulated
