entrezgene_id,external_gene_name,Expression,Reactions
101488,Slco2b1,Upregulated,ESTRONESt; r2225; FVStu; BILIRUBt2; 4HATVLACthc; r2261; SMVthep; CRVSthc; r2244; 2HATVACIDthc; ATVACIDOATPtu; FOLOATPtc; 6EPVSthc; 3ISPVSthc; LEUKTRC4t; 2HATVLACthc; BILGLCURt; 4HATVACIDthc; r2289; PTVSTtu; CHOLATEt; r2202; 3HPVSthc; r2222; BILDGLCURt; THYOXt; r2198; r2243; TRIODTHYt; r2288; RSVtu; r2219; r2199; PVSOATPtu; ATVLACThc; r2270; GDCA3St; UDCA3St; r2254; r2304; 3DHLCAt; r2283; TCDCA3St; r2237; r2262; r2273; r2293; r2255; r2227; r2297; r2224; TDCA3St; 12DHCHOLt; GCHOLAt; r2267; r2259; r2291; r2253; r2257; TCA3St; LCA3St; r2228; 3DHCDCHOLt; COPROSTt; r2234; r2221; r2292; r2298; THYOCHOLt; 7DHCDCHOLt; r2276; DHEASt; r2275; GCDCA3St; r2274; r2241; r2268; DCA3St; r2258; r2294; r2236; r2218; ICDCHOLt; GUDCA3St; 7DHCHOLt; r2238; r2264; UCHOLt; r2249; r2305; r2284; r2277; C05769te3; r2247; r2220; 3DHDCAt; r2300; r2263; r2235; r2260; r2299; 3DHCHOLt; ISOCHOLt; r2272; HYOCHOLt; r2280; r2201; r2233; r2306; r2250; r2307; r2245; r2278; r2295; r2230; r2279; r2239; TUDCA3St; CA3St; r2287; r2266; r2232; GCA3St; r2246; r2229; r2290; r2269; HC02220t; r2286; r2231; r2248; r2265; r2256; r2200; r2303; r2302; UDCHOLt; r2301; r2242; C05770te4; r2281; r2271; r2282; r2285; r2252; r2296; r2226; r2240; TCHOLAt; r2223; ESTRADIOLGLCt; r2251
106648,Cyp4f15,Downregulated,HMR_0981; HMR_1126; HMR_1127
107476,Acaca,Upregulated,ACCOAC
107747,Aldh1l1,Downregulated,FTHFDH; FDH
108052,Slc14a1,Upregulated,UREAt
109264,Me3,Upregulated,ME2m
109652,Acy1,Downregulated,RE2640C
109801,Glo1,Upregulated,LGTHL
110196,Fdps,Upregulated,HMR_1532; DMATTx; GRTTx
110460,Acat2,Upregulated,ACACT1r; ACACT1x
110695,Aldh7a1,Downregulated,NABTNO; ALDD20x; RE3012M; LCADi_D; GLYALDDr; GCALDD; HMR_4079; RE3346M; BETALDHx; 5HOXINDACTOX; BAMPPALDOX; r0643; ALDD2x; r0688; AASAD3; BETALDHy; LCADi; r0642
110877,Slc18a1,Downregulated,ADRNLPVESSEC_1; HISTAVESSEC_1; DOPAVESSEC_1; NRPPHRVESSEC_1
11433,Acp5,Downregulated,NTD4l; NTD9l; ACP1_FMN; ACNAMPH; NTD7l; NADPPPS; NTD5l; NTD2l; LAPCOAl
11829,Aqp4,Upregulated,H2Ot
11846,Arg1,Downregulated,ARGN
11944,Atp4a,Upregulated,HKt
11958,Atp5me,Downregulated,ATPS4mi
11984,Atp6v0c,Downregulated,ATPasel_1
12411,Cbs,Downregulated,r0210; CYSTS
12491,Cd36,Downregulated,BUTt; HMR_0428; HMR_0244; HMR_0240; HMR_0388; HMR_0380; HMR_0278; HMR_0254; HMR_0232; HMR_0436; HMR_0326; HMR_0308; HMR_0392; HMR_0292; HMR_0344; HMR_0384; HMR_0288; HMR_0304; HMR_0191; HMR_0432; HMR_0203; HMR_0296; HMR_0270; HMR_0322; HMR_0208; HMR_0300
13177,Eci1,Downregulated,RE2999M; RE3628M; DCIm; RE2992M; RE1573M; RE3003M; HMR_3447
13371,Dio2,Downregulated,HMR_6834; HMR_6826
13521,Slc26a2,Upregulated,OXAHCOtex; CLHCOtex; SO4HCOtex; SO4t_e
14137,Fdft1,Upregulated,SQLSr; r0170; r0575
14544,Gda,Upregulated,GUAD
14645,Glul,Downregulated,GLNS
14782,Gsr,Upregulated,GDRm; GTHOr; GTHOm; GDR
14979,Hsd17b8,Downregulated,HMR_9804; HMR_2041; HSD17B1
15107,Hadh,Downregulated,RE1526M; RE3178M; HMR_3425; HMR_3246; RE1527M; HMR_1651; HMR_3408; HMR_3242; HMR_3426; HMR_3406; HACD9m; HMR_3431; HMR_3184; HMR_3117; HMR_3224; HMR_3429; HMR_3220; HMR_3424; HMR_3407; HMR_3398; HMR_3428; HMR_3176; HMR_3413; HMR_3409; RE0512M; HMR_3433; HMR_3414; HMR_3109; HMR_9719; HMR_3422; HMR_3200; HMR_3236; RE3179M; HMR_3188; HMR_3454; HMR_3172; HMR_3113; HMR_3411; HMR_3196; HMR_3416; HMR_3450; HMR_3192; HMR_3432; HMR_3421; HMR_3427; HMR_3180; RE3177M; RE1525M; HMR_3423; HMR_3204; HMR_3232; RE3005M; FAOXC61C4m; HACD4m; FAOXC5C3x; FAOXC121C101m; FAOXC120100m; FAOXC9C7m; HACD6m; r1477; r0733; FAOXC4020m; FAOXC8C6m; FAOXC10080m; FAOXC7C5m; HACD1m; r0730; r0714_1; FAOXC11C9m; HACD6p; HACD5m; FAOXC101C8m; HACD4p; FAOXC6C4m; HACD5p; r0715
15203,Heph,Downregulated,FEROc
15357,Hmgcr,Upregulated,HMGCOAR; HMGCOARx
15368,Hmox1,Downregulated,HOXG
15926,Idh1,Upregulated,r0425; r0083; r0422; r0423; r0424; r0084; r0082; ICDHyr; ICDHyp
16514,Kcnj11,Downregulated,Kt1
16890,Lipe,Downregulated,HMR_0003; HMR_0672
16956,Lpl,Upregulated,LPS; LPS2
16987,Lss,Upregulated,LNSTLSr
17025,Alad,Upregulated,PPBNGS
18125,Nos1,Upregulated,r0145; NOS2_2; NOS2; NOS1
18194,Nsdhl,Upregulated,C3STDH1Pr; C3STDH1r; C4STMO2r; C4STMO2Pr
18451,P4ha1,Downregulated,PROAKGOX1; HMR_4777
18573,Pde1a,Upregulated,PDE4; PDE1
18711,Pikfyve,Upregulated,PI4P5K
19309,Pygm,Downregulated,GLPASE2; GLPASE1
20135,Rrm2,Downregulated,RNDR2; RNDR3; RNDR1; RNDR4; RNTR1; RNTR3; RNTR2; RNTR4
20229,Sat1,Downregulated,PTRCAT1
20511,Slc1a2,Downregulated,ASPDt6; ASPt6; GLUt6
20775,Sqle,Upregulated,SQLEr
207839,Galnt6,Downregulated,GALNTg
208715,Hmgcs1,Upregulated,r0463; HMGCOAS
21366,Slc6a6,Upregulated,TAURt4_2_r; r0934; TAURtcx; BALABETAtc; TAUBETAtc; r1540
214084,Slc18a2,Downregulated,ADRNLPVESSEC_1; HISTAVESSEC_1; DOPAVESSEC_1; NRPPHRVESSEC_1
215113,Slc43a2,Downregulated,CYStec; METtec; VALtec; LEUtec; PHEtec; ILEtec
216343,Tph2,Downregulated,r0403; TRPHYDRO2
21877,Tk1,Downregulated,DURIK1; TMDK1
218865,Chdh,Downregulated,CHOLD2m; CHOLD
22229,Ucp3,Downregulated,Htmi
227659,Slc2a6,Upregulated,GLCt1
230379,Acer2,Downregulated,ACER23g; HMR_0753; ACER21g; ACER22g
233801,Acsm4,Upregulated,HMR_0168
236539,Phgdh,Downregulated,PGCD
237831,Slc13a5,Downregulated,CITt4_1; CITt4_4
242607,Slc1a7,Upregulated,ASPDt6; ASPt6; GLUt6
243616,Slc6a11,Downregulated,ABUTt4_2_r; HMR_9613
26457,Slc27a1,Downregulated,OCT11EFATP_1; BUTt; HMR_0428; HMR_0244; HMR_0240; DOCO13EFATP; HMR_0388; HMR_0380; HMR_0278; FATP1t; HMR_0254; HMR_0232; FATP2t; HMR_0436; HMR_0326; CE2537ABCt; HMR_0308; HMR_0392; HMR_0292; HMR_0344; HMR_0384; HMR_0288; HMR_0304; HMR_0191; HMR_0432; HMR_0203; HMR_0296; HMR_0270; HMR_0322; ARACHDFATPtc; NRVNCABCt; LGNCFATPtc; HMR_0208; HMR_0300; FATP3t; CE2510ABCt
269378,Ahcy,Upregulated,AHCi
271424,Ip6k3,Upregulated,PMI12346PS; PMI12346PHn; PMI12346PH
27410,Abca3,Upregulated,PGLYCABCte
320208,Tmem91,Downregulated,r0386; r0670; r0385
320452,P4ha3,Upregulated,PROAKGOX1; HMR_4777
50877,Neu3,Upregulated,HMR_0847; HMR_0825; NEU34e; NEU39e; NEU36e; NEU33e
53881,Slc5a3,Downregulated,GLCt4; INSTt4; NAt
53896,Slc7a10,Downregulated,SERDGLYexR; SERDGLNexR; THRGLYexR; ALAGLYexR; HMR_9191; ALADGLNexR; THRGLNexR; SERGLYexR; CYSGLUexR; CYSGLYex; ALAGLNexR; SERGLNexR; ALADGLYexR
56050,Cyp39a1,Downregulated,HMR_1737; P45039A1r
58807,Slco1c1,Downregulated,ESTRONESt; THYOXt; TRIODTHYt; ESTRADIOLGLCt
66234,Msmo1,Upregulated,C4STMO2r; C4STMO1r
71760,Etnppl,Downregulated,r0186; AGTim
73649,Cybrd1,Upregulated,FE3R2e_1
74754,Dhcr24,Upregulated,r1380; r0783; DSMSTOLR; DSREDUCr
76282,Gpt,Downregulated,ALATA_Lm; ALATA_L
78894,Aacs,Upregulated,ACS2; ACS; AACOAT; r0321
94180,Acsbg1,Downregulated,HMR_2964; HMR_0389; HMR_0271; HMR_2985; HMR_0188; HMR_2989; HMR_0192; HMR_0305; HMR_0245; HMR_0209; HMR_0309; HMR_0345; HMR_2946; HMR_2955; HMR_2965; HMR_2961; HMR_0293; HMR_0241; HMR_2945; HMR_2954; HMR_2967; HMR_2975; HMR_0433; HMR_2979; HMR_2944; HMR_2942; HMR_2999; HMR_0255; HMR_2963; HMR_2983; HMR_0233; HMR_2980; HMR_0204; HMR_3003; HMR_2973; HMR_2988; HMR_3001; HMR_0323; HMR_0393; HMR_2994; HMR_0200; HMR_3002; HMR_2968; HMR_2998; HMR_2969; HMR_0279; HMR_2966; HMR_2970; HMR_2951; HMR_2947; HMR_2976; HMR_0319; HMR_0297; HMR_0381; HMR_2990; HMR_2971; HMR_2957; HMR_0289; HMR_0301; HMR_0385; FACOAL1812; HMR_2956; HMR_2943; HMR_2986; HMR_0327; HMR_2977; HMR_0437; HMR_2982; HMR_0267; HMR_2962; HMR_2974; HMR_2972; HMR_2948; HMR_2978; HMR_0429; DOCOSACT
