Gene,mouseID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,expression
1700012B09Rik,69325,77.93994255,-2.137403985,0.488488877,-4.375542791,1.21130675722232e-05,0.034122277,downregulated
Acad8,66948,1334.106826,-0.286697844,0.105357199,-2.721198412,0.006504571,0.806981956,downregulated
Ahcy,269378,1279.070963,-0.38738082,0.135251288,-2.864156235,0.004181217,0.724178547,downregulated
Ak7,78801,328.1906025,-1.542292748,0.455925384,-3.382774472,0.000717575,0.36919251,downregulated
Ak9,633979,94.0594477,-1.140434993,0.412387413,-2.76544569,0.005684507,0.792882445,downregulated
Apoa1,11806,19.22579984,-2.550088093,0.910260639,-2.801492216,0.005086687,0.738417785,downregulated
BC051019,57355,27.01434602,-2.917402812,0.765581082,-3.810703895,0.000138572,0.191196694,downregulated
Borcs7,66439,1478.113928,-0.284839004,0.093682889,-3.040459214,0.002362177,0.587911905,downregulated
Cacng5,140723,1282.705174,-0.343685106,0.116599806,-2.947561569,0.00320291,0.667005934,downregulated
Car9,230099,47.96348858,-1.566128891,0.362532301,-4.319970625,1.56049971493712e-05,0.034122277,downregulated
Catip,241112,169.1744609,-0.897762114,0.345081932,-2.60159119,0.009279239,0.87438029,downregulated
Catspere2,545391,197.0837722,-0.907069311,0.249703277,-3.632588737,0.000280592,0.233733166,downregulated
Ccdc113,244608,197.6009727,-0.771549891,0.284223595,-2.714587757,0.006635832,0.811752466,downregulated
Ccdc146,75172,128.6928334,-1.407459323,0.403221628,-3.490535291,0.000482054,0.308529549,downregulated
Ccdc162,75973,192.4221573,-1.010108352,0.315329341,-3.203343996,0.001358416,0.46593674,downregulated
Ccdc170,100504234,115.5563086,-1.477169176,0.470782012,-3.137692473,0.001702834,0.504875949,downregulated
Cd24a,12484,1111.289826,-0.610699694,0.206758311,-2.953688738,0.003140005,0.667005934,downregulated
Cdhr3,68764,198.7682708,-1.264331932,0.406384739,-3.111169813,0.001863477,0.516833347,downregulated
Cdhr4,69398,138.4591858,-1.5687473,0.320765586,-4.890634689,1.00511353475458e-06,0.004576609,downregulated
Cfap141,73545,164.1344013,-0.780975414,0.270656945,-2.885480785,0.003908163,0.687758807,downregulated
Cfap251,269701,421.5706692,-0.450994258,0.155418454,-2.901806366,0.003710178,0.687758807,downregulated
