Gene,B4APH9540922,B4APH9550922,B4APH9500922,B4APH9560922,B4APH9690922,B4AP9010922,B4AP8920922,B4AP9020922,B4AP9530922,B4AP9060922,B4AP9200922,B4AP9480922,B4AP9490922,B4AP9750922,B4AP9400922
0610010K14Rik,149.3935745,104.0017598,69.05481875,134.6724877,102.3094337,134.3245126,141.4834672,28.12209384,166.3544829,142.701407,97.83119424,81.31910588,131.6914026,128.3656114,66.93020001
0610030E20Rik,984.599757,1061.857967,1060.484716,963.9156794,880.5919111,1195.88913,786.129969,847.2914726,1007.525456,875.891395,1082.387681,1012.318613,941.2362265,1016.046449,853.094454
0610040J01Rik,147.6462812,252.7242762,341.3281041,221.6263773,267.6487862,191.4625515,217.207013,176.8970419,203.0088605,187.9721982,260.1893464,176.1913961,243.9863971,275.2245735,232.6621238
1110002E22Rik,135.4152283,175.762974,142.0556271,142.0953807,161.6854443,33.07991727,63.76719647,67.1301595,54.51163848,75.77936788,65.56771529,125.1063167,119.4410396,69.6220265,145.5466254
1110004F10Rik,4329.79272,4429.434949,4122.572679,4082.591161,4249.495405,4578.060066,4277.383976,4572.10816,4977.476506,4696.352513,4674.041418,4735.274089,4388.692557,5212.949234,4675.552543
1110032F04Rik,356.4478268,635.4507522,520.8706328,483.5484596,529.81671,557.346485,513.1266591,457.210816,676.6962018,677.0935727,672.329271,543.1699252,614.5598789,685.3418234,538.6287524
1110038F14Rik,780.1664445,700.9718609,672.7912341,674.4228516,597.4140144,752.8187234,645.6428642,578.7708346,683.2751926,841.4462277,635.9027626,716.2336634,830.9829592,838.7278505,768.1037239
1110059E24Rik,489.2421153,568.8896259,635.3043325,471.8839135,526.1628016,591.428824,553.9775193,778.3469845,843.0506847,775.5083362,570.3350473,683.9145315,592.10088,649.442966,464.2618635
1110059G10Rik,500.5995215,553.289362,564.2765189,498.3942457,612.0296477,716.7315409,746.2754712,468.0967879,616.5454283,655.4423248,607.8023131,643.2549786,668.665649,522.1651988,448.3261016
1110065P20Rik,1324.448298,1834.591042,1470.867639,1492.001497,1473.43854,1919.637624,1665.918008,1503.171274,1639.108578,1495.904405,1536.157901,1581.552354,1710.96737,2152.843601,2262.878191
1190005I06Rik,331.9857211,185.1231324,257.4758242,178.1494325,179.954986,202.4891906,264.0360479,170.5468917,154.1363571,178.1307219,106.1572533,138.6595011,162.3173102,275.2245735,226.2878191
1500009L16Rik,820.3541897,688.4916497,686.6021978,976.6406389,659.5304562,554.3392197,607.7810913,751.1320549,752.8245245,785.3498126,757.6713767,902.8505858,871.8175026,819.1466556,908.3384287
1500011B03Rik,4216.218658,4688.39933,4151.181104,4361.479856,4090.550392,4015.701473,4161.805932,4063.188978,4371.269492,4127.51518,4288.961186,4433.976376,4292.73138,4374.221384,5455.342493
1600012H06Rik,977.6105839,917.2955212,1008.200354,782.585007,916.2175174,974.3539269,822.9953794,982.4589559,1077.074788,1069.768479,866.9509021,1091.552614,841.191595,1109.601047,1000.765848
1600014C10Rik,1887.07673,2040.514527,1620.815246,1802.702591,1883.589752,1720.155698,1771.532427,1539.457847,1692.68036,1684.860751,1765.124526,1712.913987,1479.231336,1745.989883,1533.020295
1600014C23Rik,0,1.040017598,3.945989643,0,7.307816689,0,9.963624448,18.14328635,0.939855836,0,0,5.212763198,0,7.614909149,4.249536508
1700001J03Rik,0,10.40017598,11.83796893,4.241653155,0.913477086,6.014530413,0,16.32895772,13.1579817,13.77806689,0,0,0,3.263532492,0
1700001K19Rik,172.9820336,84.24142541,121.3391815,100.7392624,121.4924525,30.07265207,31.88359823,95.25225334,56.39135015,51.17567701,44.75256758,74.02123741,46.95972497,141.4197413,118.9870222
1700001O22Rik,229.7690648,307.8452089,207.1644562,257.6804291,168.9932609,170.411695,214.2179256,228.605408,226.5052564,303.1174715,251.8632873,246.0424229,245.0072607,392.7117432,260.2841111
1700003E16Rik,1486.072925,1453.944602,1425.488758,1432.618353,1495.36199,1148.775309,1579.234475,1370.725284,1265.985811,1307.932207,1547.606232,1170.786614,1593.568058,1558.880687,1644.570629
1700003F12Rik,125.8051154,45.7607743,44.39238348,62.56438403,95.00161696,22.05327818,89.67262003,75.29463836,42.29351261,146.6379976,35.38575111,50.0425267,80.64822331,75.06124732,49.93205397
1700008O03Rik,67.27079085,95.68161899,178.5560313,114.5246352,131.5407004,170.411695,173.3670654,107.0453895,147.5573662,130.8916354,69.73074483,226.2339228,73.50217821,141.4197413,159.3576191
1700010I14Rik,76.88090383,64.48109106,60.17634205,58.32273088,114.1846358,114.2760779,69.74537114,87.08777448,38.53408927,131.8757831,46.83408235,17.72339487,45.93886138,96.81813061,91.36503493
1700012B09Rik,99.59571632,67.60114385,157.8395857,50.89983786,63.94339603,210.5085645,115.5780436,91.62359607,75.18846686,101.3672064,27.05969202,51.08507934,16.33381738,4.351376656,36.12106032
1700013H16Rik,0,0,0,4.241653155,0,0,0,0,0.939855836,0,1.040757386,0,0,1.087844164,0
1700014B07Rik,0,0,0,12.72495946,5.480862517,0,0,0,8.458702522,5.904885809,6.244544313,16.68084223,7.146045103,11.96628581,15.93576191
1700014D04Rik,5.241879806,11.44019357,65.1088291,25.44991893,28.31778967,14.0339043,86.6835327,36.2865727,29.13553091,10.82562398,9.36681647,6.255315837,88.815132,35.89885742,64.80543175
1700017B05Rik,1424.917661,1296.901944,1320.920033,1148.427592,1252.377085,1583.826342,1115.925938,1260.958401,1048.879113,1154.405176,1014.738451,1188.510009,1114.783036,1007.343696,1374.72506
1700017N19Rik,0,0,5.918984464,0,0,10.02421736,5.978174669,0,0,5.904885809,16.65211817,0,1.020863586,0,10.62384127
1700019A02Rik,1.747293269,9.360158379,33.54091196,9.543719598,21.00997298,18.04359124,63.76719647,10.88597181,16.91740504,7.873181078,7.285301699,16.68084223,8.16690869,14.14197413,4.249536508
1700019D03Rik,707.6537739,1000.496929,853.3202602,833.4848449,833.0911026,804.9446536,673.5410127,717.5669752,813.9151538,915.2573004,642.1473069,783.9995849,806.4822331,633.1253035,744.7312731
1700020A23Rik,12.23105288,27.04045754,2.959492232,13.78537275,18.26954172,22.05327818,43.83994757,13.60746476,4.699279179,16.73050979,12.48908863,3.127657919,22.4589989,31.54748076,18.06053016
1700020L24Rik,90.85924998,41.60070391,66.09532651,138.9141408,59.3760106,83.20100405,108.6035065,9.071643175,114.662412,79.71595842,46.83408235,94.8722902,82.68995048,64.18280568,83.92834604
1700020N01Rik,0,0,15.78395857,0,15.52911046,4.009686942,0,0,0,1.96829527,0,0,0,2.175688328,0
1700022I11Rik,51.54515143,46.8007919,23.67593786,24.38950564,34.71212927,77.18647364,27.89814845,52.61553042,60.15077349,38.38175776,50.99711189,33.36168447,60.23095159,57.6557407,40.37059683
1700024B05Rik,0,0,0,4.241653155,0,0,5.978174669,7.25731454,0.939855836,0,0,0,1.020863586,0,0
1700024G13Rik,74.25996392,45.7607743,54.25735759,37.1144651,14.61563338,52.12593025,31.88359823,39.00806565,20.67682839,36.41346249,1.040757386,46.91486878,0,32.63532492,0
1700025G04Rik,3951.503727,5054.485525,4646.402804,4695.510042,4910.852815,4355.522441,4433.812879,4705.461315,5214.320177,4370.599646,4988.350149,4431.891271,4748.036539,4618.986321,4685.114
1700028J19Rik,71.63902402,41.60070391,69.05481875,13.78537275,40.19299179,54.13077372,0,74.38747404,31.95509842,36.41346249,30.18196418,35.44678974,74.52304179,16.31766246,50.9944381
1700028K03Rik,48.05056489,71.76121424,36.50040419,53.02066443,60.28948769,84.20342578,28.8945109,31.75075111,64.85005267,31.49272431,53.07862666,26.06381599,33.68849834,60.91927319,41.43298096
1700029H14Rik,0,4.160070391,3.945989643,1.060413289,0,0,0,0,0,0,0,1.04255264,0,0,0
1700030J22Rik,403.6247451,466.9679014,414.3289125,428.4069686,472.2676535,367.8887769,454.3412748,412.7597645,329.8893984,313.9430955,494.3597581,423.2763716,512.4735203,358.9885742,486.5719302
1700030K09Rik,352.9532403,357.7660536,388.6799798,309.6406803,371.7851741,316.7652684,395.5558906,414.5740931,417.2959911,448.7713215,386.12099,308.5955813,432.8461606,483.0028089,365.4601397
1700034J05Rik,0,0,0,10.60413289,10.96172503,0,0,0,0,5.904885809,12.48908863,0,0,0,16.99814603
1700037C18Rik,183.4657932,179.9230444,137.1231401,241.7742298,186.3493256,149.3608386,232.1524496,115.2098683,226.5052564,178.1307219,166.5211817,254.382844,224.589989,182.7578196,222.0382826
1700047F07Rik,0,9.360158379,0,6.362479732,9.134770862,4.009686942,0.996362445,0,3.759423343,10.82562398,4.163029542,0,0,10.87844164,0
1700056E22Rik,0,6.240105586,0.986497411,12.72495946,10.04824795,29.07023033,9.963624448,0,9.398558358,17.71465743,4.163029542,10.4255264,0,1.087844164,25.49721905
1700066M21Rik,1351.531343,1824.190866,1618.842251,1565.170014,1655.22048,1765.264676,1708.761593,1658.296372,1502.829481,1820.673124,1510.138966,2147.658437,1618.068784,1398.967595,1594.638575
1700067K01Rik,62.02891104,74.88126703,74.97380321,83.7726498,126.0598379,50.12108678,141.4834672,29.02925816,97.74500692,52.15982464,69.73074483,26.06381599,24.50072607,54.39220821,49.93205397
1700088E04Rik,159.8773341,187.2031676,232.8133889,161.1828199,147.983288,175.4238037,66.7562838,84.36628153,119.3616911,259.8149756,94.70892208,113.6382377,156.1921287,169.7036896,105.1760286
1700093K21Rik,30.5776322,0,0,0,0,17.0411695,0,0,0.939855836,0,4.163029542,18.76594751,4.083454345,2.175688328,4.249536508
1700102P08Rik,16.59928605,70.72119664,38.47339902,29.69157208,46.58733139,48.11624331,56.79265935,56.24418769,55.45149431,20.66710033,22.89666248,20.85105279,0,11.96628581,29.74675556
1700109H08Rik,142.4044014,50.96086229,183.4885184,79.53099665,95.91509405,105.2542822,144.4725545,31.75075111,409.7771444,35.42931485,162.3581521,96.95739548,122.5036303,92.46675395,76.49165715
1700113H08Rik,0,0,0,13.78537275,0,0,7.970899558,0,3.759423343,0,5.203786928,1.04255264,0,0,0
1700123K08Rik,0,0,0,2.120826577,3.653908345,6.014530413,0,1.814328635,0,8.857328713,12.48908863,5.212763198,2.041727172,18.49335079,0
1700123O20Rik,722.5057666,1027.537387,1052.592737,741.2288888,950.9296467,1038.508918,870.8207768,704.8666747,926.6978541,786.3339602,907.5404402,1014.403718,876.9218205,962.7420852,884.9659779
1810009A15Rik,82.99643027,87.36147821,91.74425919,136.7933142,115.0981129,95.23006488,123.5489432,110.6740467,133.4595287,132.8599307,107.1980107,82.36165852,108.2115401,122.9263905,111.5503333
1810010H24Rik,285.6824494,271.444593,247.6108501,312.8219202,200.0514819,272.6587121,174.3634278,195.0403283,240.603094,221.4332178,236.2519265,237.7020018,269.5079868,146.8589622,230.5373556
1810024B03Rik,65.52349758,24.96042234,23.67593786,33.93322524,31.05822093,37.08960421,62.77083402,30.8435868,50.75221513,43.30249593,24.97817725,53.17018462,53.08490648,87.02753313,46.74490159
1810030O07Rik,1297.365252,1399.863687,1738.208438,1467.611991,1588.536653,1213.932722,1318.187514,1444.205594,1355.272115,1458.506795,1535.117144,1404.318405,1277.100346,1429.427232,1254.675654
1810037I17Rik,2639.286482,2859.008376,3020.655071,2662.697768,2634.467917,2803.773594,2460.018876,2060.170165,2518.81364,2992.792957,2058.618109,2827.402758,2661.391369,2710.907657,2676.145616
1810049J17Rik,12.23105288,4.160070391,0,0,0.913477086,0,3.985449779,7.25731454,10.33841419,14.76221452,18.73363294,0,0,8.702753313,7.43668889
1810055G02Rik,707.6537739,748.8126703,870.0907162,806.9745127,1007.565226,810.959184,888.7553008,887.2067026,823.3137122,859.1608852,777.445767,724.5740845,728.8966005,776.7207332,864.7806794
1810062G17Rik,0,0,12.82446634,0,23.75040424,8.019373884,16.93816156,18.14328635,17.85726088,10.82562398,0,16.68084223,1.020863586,1.087844164,3.187152381
2010106E10Rik,0,0,0,0,0,32.07749554,0,0,5.639135015,0,0,0,0,1.087844164,12.74860952
2010109A12Rik,0,0,9.864974106,1.060413289,4.567385431,4.009686942,2.989087334,3.62865727,0,26.57198614,0,0,4.083454345,3.263532492,0
2010315B03Rik,768.8090383,685.3715969,628.3988506,636.2479732,816.648515,560.3537502,562.9447813,399.1522997,768.8020737,673.1569822,682.7368449,668.2762419,641.1023321,675.5512259,595.9974953
2200002D01Rik,6.989173075,16.64028156,10.85147152,68.92686376,23.75040424,14.0339043,52.80720957,21.77194362,9.398558358,26.57198614,32.26347895,12.51063167,9.187772276,69.6220265,16.99814603
2210016L21Rik,5455.923232,6080.982894,5569.76438,5973.308055,5895.581114,5755.905605,5735.062232,6106.123021,6200.228949,6139.112946,5436.916582,5895.635177,6314.041281,5877.622019,6468.85695
2210408I21Rik,468.274596,720.7321952,513.9651509,657.456239,652.2226395,631.5256934,831.9626414,750.2248906,584.5903299,473.3750123,477.70764,634.9145575,510.4317931,563.503277,565.1883556
2210418O10Rik,0,0,0.986497411,0,0,0,0,1.814328635,5.639135015,0,3.122272157,3.127657919,0,4.351376656,2.124768254
2300009A05Rik,269.0831634,257.9243642,270.3002905,163.3036465,291.3991905,235.5691078,257.0615108,106.1382252,277.2574716,241.1161705,251.8632873,202.2552121,279.7166226,304.596366,245.4107334
2310009B15Rik,446.4334302,498.1684293,582.0334723,562.019043,300.5339613,401.9711159,462.3121744,261.2633235,283.8364624,440.8981404,448.5664332,507.7231355,414.470616,707.0987067,518.443454
2310011J03Rik,1403.076495,1435.224285,1701.708033,1716.809114,1310.839619,1398.378321,1553.329051,1447.834251,1685.161514,1566.763035,1303.028247,1509.616222,1338.352162,1958.119495,1792.242022
2310022A10Rik,1191.654009,1238.660959,1278.500644,1396.564301,1250.550131,1210.925457,1141.831362,1306.316617,1188.917632,1275.455335,1131.303278,1184.339799,1160.721898,1240.142347,1456.528638
2310022B05Rik,8572.220777,9555.681688,7482.58286,9171.514534,6793.52909,8061.475597,7271.453122,7219.213639,6596.848111,6985.479912,7259.282764,7124.804739,8892.742699,6177.867008,6991.54994
2310030G06Rik,117.068649,131.0422173,106.5417203,146.3370338,121.4924525,146.3535734,128.5307554,154.217934,141.9182312,108.2562398,115.5240698,183.4892646,95.9611771,152.298183,98.80172382
2310033P09Rik,671.8342618,513.7686933,610.6418972,516.4212716,494.1911036,721.7436496,575.8974931,692.1663743,594.9287441,518.6458035,506.8488467,557.7656621,660.4987403,653.7943426,731.9826636
2310034G01Rik,69.01808412,70.72119664,19.72994821,25.44991893,31.05822093,58.14046066,31.88359823,0,43.23336845,23.61954324,16.65211817,34.4042371,39.81367986,81.58831231,23.3724508
2310039H08Rik,201.8123725,198.6433612,175.5965391,142.0953807,192.7436652,107.2591257,279.977847,154.217934,174.8131855,205.6868557,142.5837618,112.5956851,207.235308,211.0417678,148.7337778
2310057M21Rik,821.2278363,973.4564715,1054.565732,1074.198661,1207.616708,1115.695392,1064.115091,1187.478092,1268.805378,1258.724825,1278.050069,1273.999326,1208.702486,1321.730659,1397.035127
2310061I04Rik,2169.264593,2342.11963,2109.131464,2128.24947,1994.120479,2062.983932,2200.964641,1930.445668,2460.542578,1876.76954,2146.041729,2200.828622,1880.430726,2047.322717,2150.265473
