"Gene","B4AP8920922","B4AP9010922","B4AP9020922","B4AP9060922","B4AP9200922","B4AP9400922","B4AP9480922","B4AP9490922","B4AP9530922","B4AP9750922","B4APH9500922","B4APH9540922","B4APH9550922","B4APH9560922","B4APH9690922"
"0610030E20Rik",789,1193,934,890,1040,803,971,922,1072,934,1075,1127,1021,909,964
"1110002E22Rik",64,33,74,77,63,137,120,117,58,64,144,155,169,134,177
"1110004F10Rik",4293,4567,5040,4772,4491,4401,4542,4299,5296,4792,4179,4956,4259,3850,4652
"1110032F04Rik",515,556,504,688,646,507,521,602,720,630,528,408,611,456,580
"1110038F14Rik",648,751,638,855,611,723,687,814,727,771,682,893,674,636,654
"1110059E24Rik",556,590,858,788,548,437,656,580,897,597,644,560,547,445,576
"1110059G10Rik",749,715,516,666,584,422,617,655,656,480,572,573,532,470,670
"1110065P20Rik",1672,1915,1657,1520,1476,2130,1517,1676,1744,1979,1491,1516,1764,1407,1613
"1190005I06Rik",265,202,188,181,102,213,133,159,164,253,261,380,178,168,197
"1500009L16Rik",610,553,828,798,728,855,866,854,801,753,696,939,662,921,722
"1600012H06Rik",826,972,1083,1087,833,942,1047,824,1146,1020,1022,1119,882,738,1003
"1600014C10Rik",1778,1716,1697,1712,1696,1443,1643,1449,1801,1605,1643,2160,1962,1700,2062
"1600014C23Rik",10,0,20,0,0,4,5,0,1,7,4,0,1,0,8
"1600025M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001F09Rik",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",0,6,18,14,0,0,0,0,14,3,12,0,10,4,1
"1700001K19Rik",32,30,105,52,43,112,71,46,60,130,123,198,81,95,133
"1700001O22Rik",215,170,252,308,242,245,236,240,241,361,210,263,296,243,185
"1700003E16Rik",1585,1146,1511,1329,1487,1548,1123,1561,1347,1433,1445,1701,1398,1351,1637
"1700003E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700003F12Rik",90,22,83,149,34,47,48,79,45,69,45,144,44,59,104
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700008O03Rik",174,170,118,133,67,150,217,72,157,130,181,77,92,108,144
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",70,114,96,134,45,86,17,45,41,89,61,88,62,55,125
"1700011L22Rik",0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",116,210,101,103,26,34,49,16,80,4,160,114,65,48,70
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,1,0,0,0,1,1,0,0,0,4,0
"1700014B07Rik",0,0,0,6,6,15,16,7,9,11,0,0,0,12,6
"1700016H13Rik",0,0,20,0,0,0,0,0,0,0,0,0,0,4,0
"1700017B05Rik",1120,1580,1390,1173,975,1294,1140,1092,1116,926,1339,1631,1247,1083,1371
"1700017N19Rik",6,10,0,6,16,10,0,1,0,0,6,0,0,0,0
"1700018B08Rik",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
