external_gene_name,log2FC Genotype,Log2FC CP2
Dbp,0.563855913,-0.288424856
Ciart,0.636492619,-0.497428838
Ahcy,-6.229403086,1.071949259
Cryzl2,0.470238855,-0.356489649
Lsm11,0.298941744,-0.327157701
Tnfrsf19,-0.280597861,0.260571498
Parpbp,-0.878650923,-0.881218026
Myd88,-0.566142,0.429843612
Trim30d,-1.020481063,-0.827197625
Htra1,-0.491275237,0.259639727
1110002E22Rik,-1.363434382,0.835632097
Cdca8,-1.98180281,1.145881925
Neurog1,-4.037804075,4.468347745
Smim22,-3.543188878,3.032631769
Otop1,-5.302513916,4.786998824
Nfe2,-5.961135768,4.511589679
Ahcyl,-6.229403086,6.2407887
Cldn5,-0.57457314,0.532002741
Hes5,-0.540576452,0.605362897
Gm7694,-0.90178677,0.658836226
Acy1,-0.475326117,0.348052086
Nicol1,-0.261586378,0.261917907
Ppp1r16b,-0.262819192,0.279842398
,,
