Ensembl_id	B4AP8920922	B4AP9010922	B4AP9020922	B4AP9060922	B4AP9200922	B4AP9400922	B4AP9480922	B4AP9490922	B4AP9530922	B4AP9750922	B4APH9500922	B4APH9540922	B4APH9550922	B4APH9560922	B4APH9690922
ENSMUSG00000000001	2355	2478	2406	2279	2071	1916	2223	2232	2308	1963	2597	2579	2550	2188	2643
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	132	45	52	112	44	52	46	111	86	111	85	102	86	90	192
ENSMUSG00000000031	167	46	49	64	33	15	49	100	67	85	56	67	98	33	113
ENSMUSG00000000037	67	100	56	77	45	46	31	14	63	45	100	133	48	59	62
ENSMUSG00000000049	38	24	1	3	27	27	32	32	17	2	14	14	12	13	7
ENSMUSG00000000056	2699	2460	3046	2854	2422	2819	2540	2556	3240	2579	3093	2745	2856	2568	3123
ENSMUSG00000000058	2207	2418	2671	2615	2319	1771	2048	1749	2377	2497	2490	2462	2149	1803	3137
ENSMUSG00000000078	3071	2879	3081	3171	2827	2519	2336	2366	2718	2902	2508	3090	2457	2136	3405
ENSMUSG00000000085	1985	1719	1663	1818	1735	1822	1832	2163	2161	1829	1991	2412	1647	1691	2180
ENSMUSG00000000088	5299	5224	5589	5283	5253	5734	5933	5145	6113	4933	5622	6555	6185	5995	6069
ENSMUSG00000000093	229	224	118	202	306	173	122	230	240	218	148	167	76	193	176
ENSMUSG00000000094	30	3	30	19	6	6	16	16	14	0	40	0	0	6	21
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	278	304	535	73	61	201	376	542	410	273	264	715	369	405	483
ENSMUSG00000000125	213	415	318	484	235	247	385	337	506	247	256	439	353	433	410
ENSMUSG00000000126	652	532	766	790	574	890	429	671	564	781	646	667	377	544	696
ENSMUSG00000000127	921	903	995	969	857	827	729	769	922	832	831	905	792	785	1030
ENSMUSG00000000131	5233	4768	6161	4906	5107	4460	4711	4925	5483	4525	5012	6235	4642	4722	5648
ENSMUSG00000000134	2054	1764	1992	1991	1906	2044	1664	2272	2277	1877	1710	2064	2059	1926	2143
ENSMUSG00000000142	1604	1746	1334	1889	1637	1414	1242	1468	1587	1628	1669	2247	1471	1672	1821
ENSMUSG00000000148	1135	1387	1222	1099	1093	1126	650	1337	1113	919	1026	1298	931	1010	1042
ENSMUSG00000000149	8589	9030	9645	7548	7078	7746	8335	8836	7383	7096	8992	9618	8083	8493	9245
ENSMUSG00000000154	95	112	98	86	213	113	52	167	111	146	85	138	62	158	79
ENSMUSG00000000157	14	0	0	3	1	18	2	0	11	3	27	4	0	12	5
ENSMUSG00000000159	20	1	6	33	5	35	27	2	34	27	8	70	16	7	29
ENSMUSG00000000167	103	145	164	237	133	103	122	82	112	165	119	122	134	70	105
ENSMUSG00000000168	5202	5138	6253	5322	5294	5529	5680	4631	5854	4976	5124	5320	5287	4922	5615
ENSMUSG00000000171	4019	3964	3854	4004	3873	4049	4010	3595	4462	3612	4152	3852	4283	3967	4263
ENSMUSG00000000182	12	0	0	15	58	0	1	30	21	32	14	0	6	17	26
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	3509	2997	3612	3403	2496	2977	2464	2736	3436	3367	3419	3069	2919	2405	3615
ENSMUSG00000000194	3109	3136	3788	3538	3417	3045	2745	2869	3354	3016	3694	3506	2785	2950	3967
ENSMUSG00000000197	6918	6838	8901	6506	6250	5794	6844	5915	6479	5143	5731	6470	5897	6132	6533
