Gene,NTG-7,NTG-8,NTG-9,NTG-10,AD-16,AD-17,AD-18,AD-19,AD-20,AD-CP2-21,AD-CP2-22,AD-CP2-23,AD-CP2-24,AD-CP2-25
100039707,1.964837311,1.88264797,1.768866864,1.608916973,1.932559349,1.668265169,1.981204921,1.986407031,1.817947037,1.657317601,1.834564471,1.471078722,1.617427979,2.226240286
100040843,0.038893986,0,0,0,0,0,0,0,0.019098526,0,0,0,0,0
100041273,67.55346863,54.1480279,51.9405576,51.26030819,50.62536213,54.68706686,53.84156124,49.01971855,44.0531506,46.27698888,51.33864033,48.59484728,47.26079892,42.15849535
100041585,5.962918305,6.608487336,6.607367702,7.202699888,8.633257768,8.092077337,7.067328719,6.421386834,7.478173874,6.631460233,5.622673603,5.924063225,7.509489317,7.755716666
100042503,67.55346863,54.1480279,51.9405576,51.26030819,50.62536213,54.68706686,53.84156124,49.01971855,44.0531506,46.27698888,51.33864033,48.59484728,47.26079892,42.15849535
100043684,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100043686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100043688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100163,4.20468084,3.428306608,4.554226275,5.198318548,4.903529993,5.374707474,5.18792093,6.100352143,4.551195732,5.985836622,5.971133367,3.674549668,4.636342438,5.831754296
100198,5.676323236,5.251393171,5.389948865,5.300825498,5.759922383,5.362816174,6.181891006,5.987459546,5.865946772,6.427691568,5.667849194,5.325946609,6.163735848,5.905973096
100328588,3.813110582,3.465611634,3.042245035,3.906986182,5.068642578,4.404865039,4.671283206,5.898094478,4.761532526,5.494718377,5.088637515,4.724583929,4.405286874,4.553534825
100417514,0.032574244,0.078597783,0.052819559,0.032028898,0,0.034405922,0.027533639,0.036447694,0,0,0,0,0,0.039580582
100503991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100678,11.81415014,9.948391855,9.501900644,9.829229608,10.82727977,11.58939903,11.30194102,10.55185281,8.295828322,9.89044812,10.56030732,8.909657876,9.548497342,8.689171474
