Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610010K14Rik,111.9037035,-0.27567283,0.383429171,-0.718966763,0.472161399,0.99947604
0610030E20Rik,971.2840585,0.057849134,0.122658532,0.47162748,0.637192709,0.99947604
0610040J01Rik,226.3850218,0.283120503,0.220630679,1.283232708,0.19941056,0.99947604
1110002E22Rik,105.1044438,0.835603768,0.308875866,2.70530611,0.006824147,0.815333715
1110004F10Rik,4533.451865,0.03596434,0.063414311,0.567132868,0.570623913,0.99947604
1110032F04Rik,564.1091845,0.083962877,0.164063046,0.511772024,0.608810572,0.99947604
1110038F14Rik,714.5114138,0.114259005,0.130329618,0.876692551,0.380653654,0.99947604
1110059E24Rik,612.9233617,-0.259386233,0.153106599,-1.69415449,0.09023593,0.99947604
1110059G10Rik,588.1263393,-0.147632517,0.151868679,-0.972106412,0.330997612,0.99947604
1110065P20Rik,1670.899088,0.168763013,0.123641428,1.364939054,0.172272206,0.99947604
1190005I06Rik,200.7116508,-0.093433208,0.278930035,-0.334970049,0.737647679,0.99947604
1500009L16Rik,769.5246923,0.303325952,0.138631316,2.188004559,0.02866927,0.99947604
1500011B03Rik,4339.502881,0.139467927,0.074770909,1.865269912,0.06214358,0.99947604
1600012H06Rik,962.5748345,-0.005140019,0.118286492,-0.043453983,0.965339646,0.99947604
1600014C10Rik,1725.311064,-0.029814642,0.086790879,-0.343522759,0.731205222,0.99947604
1600014C23Rik,3.894519961,-0.769788318,1.818361675,-0.423341698,0.672045976,0.99947604
1700001J03Rik,5.329089624,-3.937179892,1.686099407,-2.335081712,0.019539152,0.975896927
1700001K19Rik,86.11401198,0.683689581,0.410340589,1.666151482,0.095683247,0.99947604
1700001O22Rik,247.3479335,0.288099601,0.220950783,1.303908487,0.192264786,0.99947604
1700003E16Rik,1432.103462,0.171558962,0.106360329,1.612997667,0.106745015,0.99947604
1700003F12Rik,69.36974155,-0.369103694,0.470401793,-0.784656224,0.432655156,0.99947604
1700008O03Rik,132.4727423,-0.121671773,0.342568648,-0.355174863,0.722458595,0.99947604
1700010I14Rik,74.28295357,-0.564362873,0.44211512,-1.276506611,0.201776491,0.99947604
1700012B09Rik,77.93977219,-2.137447547,0.488480825,-4.375704099,1.21041122856437e-05,0.033593959
1700013H16Rik,0.487340703,0.699295405,3.762021836,0.185882867,0.852536618,0.99947604
1700014B07Rik,6.036192645,2.011522399,1.560599074,1.288942453,0.197418094,0.99947604
1700014D04Rik,34.51102194,0.21348586,0.759082933,0.281241812,0.778524937,0.99947604
1700017B05Rik,1220.509302,-0.112758093,0.123787168,-0.910902922,0.362346526,0.99947604
1700017N19Rik,3.741539021,0.371281992,2.066540054,0.179663584,0.857416684,0.99947604
1700019A02Rik,16.21426434,-1.216693729,0.809964561,-1.502156744,0.133056633,0.99947604
1700019D03Rik,784.2505138,-0.120363386,0.1274989,-0.944034703,0.345151915,0.99947604
1700020A23Rik,17.52667687,-0.202136005,0.754551014,-0.267889117,0.788784671,0.99947604
1700020L24Rik,77.64049538,-0.08473448,0.483422546,-0.175280364,0.86085934,0.99947604
1700020N01Rik,2.631115972,-1.470449993,2.691879909,-0.546253935,0.584891396,0.99947604
1700022I11Rik,45.33148569,-0.07894169,0.414719951,-0.190349391,0.849035353,0.99947604
1700024B05Rik,1.295857452,-3.298566043,3.156415369,-1.045035478,0.296006573,0.99947604
1700024G13Rik,32.44713536,-1.160914366,0.897788648,-1.293082029,0.19598269,0.99947604
1700025G04Rik,4654.056643,0.024270301,0.076386499,0.317730246,0.750689566,0.99947604
1700028J19Rik,42.70824108,0.07513908,0.693041413,0.108419322,0.913663075,0.99947604
1700028K03Rik,48.39979969,-0.164740608,0.43238931,-0.381000649,0.703202767,0.99947604
