Full Name on Tube,Treatment,New_ID
B4APH9540922,Veh-NTG,Veh-NTG1
B4APH9550922,Veh-NTG,Veh-NTG2
B4APH9500922,Veh-NTG,Veh-NTG3
B4APH9560922,Veh-NTG,Veh-NTG4
B4APH9690922,Veh-NTG,Veh-NTG5
B4AP9010922,Veh-APP/PS1,Veh-APP/PS1-1
B4AP8920922,Veh-APP/PS1,Veh-APP/PS1-2
B4AP9020922,Veh-APP/PS1,Veh-APP/PS1-3
B4AP9530922,Veh-APP/PS1,Veh-APP/PS1-4
B4AP9060922,Veh-APP/PS1,Veh-APP/PS1-5
B4AP9200922,CP2-APP/PS1,CP2-APP/PS1-1
B4AP9480922,CP2-APP/PS1,CP2-APP/PS1-2
B4AP9490922,CP2-APP/PS1,CP2-APP/PS1-3
B4AP9750922,CP2-APP/PS1,CP2-APP/PS1-4
B4AP9400922,CP2-APP/PS1,CP2-APP/PS1-5
