Term,Library,p-value,q-value,z-score,combined score,overlaps
Polo-like Kinase Mediated Events R-HSA-156711,Reactome_2022,1.901e-7,0.0001686,34.26,530.1,CCNB2;CCNB1;CENPF;PLK1;FOXM1;PKMYT1
microtubule cytoskeleton organization involved in mitosis (GO:1902850),GO_Biological_Process_2021,0.000002632,0.005569,5.979,76.81,CCNB1;CENPF;NDE1;PLK1;NUSAP1;CDCA8;BIRC5;KIF2C;KIF11;DLGAP5;SPC24;SPC25
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,Reactome_2022,0.000003679,0.001632,18.02,225.5,CCNA2;CCNB2;CCNB1;PLK1;FOXM1;PKMYT1
mitotic nuclear division (GO:0140014),GO_Biological_Process_2021,0.000005643,0.005970,7.952,96.11,TPX2;KIF18B;UBE2C;NDE1;PLK1;NUSAP1;CDCA8;KIF11;KNSTRN
increased circulating adrenaline level MP:0005662,MGI_Mammalian_Phenotype_Level_4_2021,0.000006105,0.007734,56.78,681.7,CHGA;VAV3;VGF;VAV2
decreased circulating insulin level MP:0002727,MGI_Mammalian_Phenotype_Level_4_2021,0.00001036,0.007734,3.313,38.03,CDKN1A;KCNJ11;HSPA5;POP4;HMGA1;OMA1;PDIA6;ACTB;MANF;VGF;DAAM2;AKT2;COL5A3;CASKIN2;ERCC1;SPP1;TMEM119;CD38;HIF1AN;SLC13A5
increased circulating noradrenaline level MP:0005665,MGI_Mammalian_Phenotype_Level_4_2021,0.00001084,0.007734,45.42,519.3,CHGA;VAV3;ALDH7A1;VAV2
decreased muscle cell glucose uptake MP:0030022,MGI_Mammalian_Phenotype_Level_4_2021,0.00001516,0.008112,20.33,225.6,ENHO;CEACAM1;AKT2;COL5A3;CD36
Resolution Of Sister Chromatid Cohesion R-HSA-2500257,Reactome_2022,0.00001704,0.003314,5.991,65.78,CCNB2;CCNB1;CENPF;NDE1;PLK1;CDCA8;BIRC5;KIF2C;SPC24;SPC25
Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,Reactome_2022,0.00001851,0.003314,5.929,64.61,HSPA8;CDKN1A;LCN2;S1PR1;HMOX1;BIRC5;CD36;LBP;FOS;VEGFA
"Cell Cycle, Mitotic R-HSA-69278",Reactome_2022,0.00001868,0.003314,2.825,30.76,TOP2A;CDKN1A;RRM2;UBE2C;NDE1;PLK1;NCAPG;CDCA8;HMMR;PKMYT1;FOXM1;CCNA2;SEM1;TPX2;CCNB2;CENPF;TUBB6;CCNB1;AKT2;BIRC5;KIF2C;TK1;SPC24;SPC25
