Term,Library,p-value,q-value,z-score,combined score,overlaps
secondary alcohol biosynthetic process (GO:1902653),GO_Biological_Process_2021,4.81e-12,6.0080e-9,36.07,940.0,FDPS;SQLE;NSDHL;HMGCS1;MSMO1;DHCR24;HMGCR;LSS;ACAT2;FDFT1
cholesterol biosynthetic process (GO:0006695),GO_Biological_Process_2021,6.665e-12,6.0080e-9,34.63,891.1,FDPS;SQLE;NSDHL;HMGCS1;MSMO1;DHCR24;HMGCR;LSS;ACAT2;FDFT1
sterol biosynthetic process (GO:0016126),GO_Biological_Process_2021,1.664e-11,9.9980e-9,30.91,767.2,FDPS;SQLE;NSDHL;HMGCS1;MSMO1;DHCR24;HMGCR;LSS;ACAT2;FDFT1
Cholesterol Biosynthesis R-HSA-191273,Reactome_2022,4.642e-10,2.3950e-7,38.15,819.9,FDPS;SQLE;NSDHL;HMGCS1;MSMO1;DHCR24;HMGCR;FDFT1
cholesterol metabolic process (GO:0008203),GO_Biological_Process_2021,2.573e-8,1.1600e-5,12.89,225.3,FDPS;SQLE;NSDHL;HMGCS1;MSMO1;DHCR24;HMGCR;LSS;ACAT2;FDFT1
Steroid biosynthesis,KEGG_2021_Human,8.988e-8,1.6900e-5,36.48,591.9,SQLE;NSDHL;DHCR24;MSMO1;LSS;FDFT1
regulation of microglial cell activation (GO:1903978),GO_Biological_Process_2021,6.234e-7,0.0002248,42.39,605.6,CCL3;TREM2;NR1D1;CST7;LDLR
regulation of lipid metabolic process (GO:0019216),GO_Biological_Process_2021,0.000001515,0.0004554,9.318,124.9,FDPS;SQLE;HMGCS1;TNFAIP8L3;HMGCR;NR1D1;CCDC3;LSS;FDFT1
Metabolism Of Steroids R-HSA-8957322,Reactome_2022,0.000002276,0.0005871,6.695,87.00,POMC;FDPS;SQLE;NSDHL;STARD4;HMGCS1;SRD5A3;MSMO1;DHCR24;HMGCR;FDFT1
osteoclast differentiation (GO:0030316),GO_Biological_Process_2021,0.000005107,0.001315,24.92,303.7,DCSTAMP;TYROBP;GLO1;SNX10;TREM2
regulation of astrocyte activation (GO:0061888),GO_Biological_Process_2021,0.00001635,0.003570,126.1,1390,TREM2;NR1D1;LDLR
negative regulation of neuroinflammatory response (GO:0150079),GO_Biological_Process_2021,0.00001782,0.003570,33.76,369.2,TREM2;NR1D1;CST7;LDLR
myeloid leukocyte differentiation (GO:0002573),GO_Biological_Process_2021,0.00002153,0.003882,9.327,100.2,DCSTAMP;TYROBP;GLO1;CAMK4;SNX10;TREM2;TGFBR2
Initial Triggering Of Complement R-HSA-166663,Reactome_2022,0.0000998,0.01717,19.85,182.9,C4B;C4A;PIKFYVE;MASP1
Terpenoid backbone biosynthesis,KEGG_2021_Human,0.0001208,0.01136,18.75,169.1,FDPS;HMGCS1;HMGCR;ACAT2
Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168,Reactome_2022,0.0001359,0.01753,11.44,101.9,FDPS;SQLE;HMGCS1;HMGCR;FDFT1
Butanoate metabolism,KEGG_2021_Human,0.0003198,0.02004,14.06,113.1,HMGCS1;ACSM4;AACS;ACAT2
