Term,Library,p-value,q-value,z-score,combined score,overlaps
cilium movement (GO:0003341),GO_Biological_Process_2021,3.424e-13,2.0100e-10,45,1291,CFAP251;DNAH11;RSPH4A;ODAD2;SPEF2;DNAH5;TEKT4;DNAH9;TTC29;CFAP54
cilium organization (GO:0044782),GO_Biological_Process_2021,0.00005238,0.01025,6.683,65.88,CATIP;UBXN10;DNAH5;CCDC113;TEKT4;CFAP54;TTC29;CFAP44
cilium assembly (GO:0060271),GO_Biological_Process_2021,0.0004666,0.06608,4.784,36.69,RSPH4A;UBXN10;DNAH5;CCDC113;TEKT4;DYNLRB2;CFAP54;CFAP44
hydrocephaly MP:0001891,MGI_Mammalian_Phenotype_Level_4_2021,0.001216,0.05959,6.751,45.31,DNAH5;CHD7;HYDIN;AK7;KIF6
Huntington disease,KEGG_2021_Human,0.001964,0.1022,4.246,26.46,DNAH3;DNAH12;DNAH11;DNAH2;DNAH5;DNAH9;DNALI1
Amyotrophic lateral sclerosis,KEGG_2021_Human,0.005107,0.1328,3.545,18.71,DNAH3;DNAH12;DNAH11;DNAH2;DNAH5;DNAH9;DNALI1
Metabolism Of Nucleotides R-HSA-15869,Reactome_2022,0.01748,0.7104,5.763,23.32,GMPS;AK7;AK9
HDL assembly and Clearance R-HSA-8964011,Reactome_2022,0.02842,0.7104,43.6,155.2,APOA1
Purine metabolism,KEGG_2021_Human,0.03841,0.4993,4.2,13.69,GMPS;AK7;AK9
Chylomicron Assembly and remodelling R-HSA-8963888,Reactome_2022,0.05059,0.7104,21.79,65.04,APOA1
PPAR signaling pathway,KEGG_2021_Human,0.06775,0.5927,4.87,13.11,APOA1;PLIN5
Thiamine metabolism,KEGG_2021_Human,0.08289,0.5927,12.45,31,AK7
Vitamin digestion and absorption,KEGG_2021_Human,0.1293,0.5927,7.575,15.49,APOA1
