GeneID	Chr	GeneName	Start	Stop	CodingLength	NTG.7_GeneCount	NTG.7_RPKM	NTG.8_GeneCount	NTG.8_RPKM	NTG.9_GeneCount	NTG.9_RPKM	NTG.10_GeneCount	NTG.10_RPKM	AD.16_GeneCount	AD.16_RPKM	AD.17_GeneCount	AD.17_RPKM	AD.18_GeneCount	AD.18_RPKM	AD.19_GeneCount	AD.19_RPKM	AD.20_GeneCount	AD.20_RPKM	AD.CP2.21_GeneCount	AD.CP2.21_RPKM	AD.CP2.22_GeneCount	AD.CP2.22_RPKM	AD.CP2.23_GeneCount	AD.CP2.23_RPKM	AD.CP2.24_GeneCount	AD.CP2.24_RPKM	AD.CP2.25_GeneCount	AD.CP2.25_RPKM
ENSMUSG00000102693	chr1	RP23-271O17.1	3073253	3074322	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	chr1	Gm26206	3102016	3102125	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	chr1	Xkr4	3205901	3671498	6094	3947	5.952788931	3714	7.008942303	4221	6.873046686	5322	7.750546032	3492	5.454437573	4703	7.528414257	4190	5.428822135	3507	5.950629014	4490	6.565247818	4201	6.592081249	4008	6.283932022	4136	7.036458867	6185	7.998926603	4685	7.865687858
ENSMUSG00000102851	chr1	RP23-317L18.1	3252757	3253236	480	4	0.07644375	0	0	2	0.041266019	0	0	6	0.118756017	1	0.020284166	0	0	0	0	0	0	0	0	1	0.019867005	0	0	0	0	3	0.063822969
ENSMUSG00000103377	chr1	RP23-317L18.4	3365731	3368549	2819	22	0.071713454	18	0.073418869	12	0.042231819	8	0.025180945	15	0.050639756	13	0.044977621	11	0.030804125	20	0.073346891	4	0.012641231	20	0.067830414	25	0.084716572	10	0.036770389	8	0.022361792	18	0.065316698
ENSMUSG00000104017	chr1	RP23-317L18.3	3375556	3377788	2233	22	0.090524593	4	0.020594968	8	0.035539758	11	0.043705959	0	0	2	0.008734722	7	0.024744585	21	0.09721582	14	0.055850024	12	0.051373796	8	0.034220338	9	0.041774059	4	0.014113754	9	0.041224952
ENSMUSG00000103025	chr1	RP23-115I1.6	3464977	3467285	2309	2	0.007958754	0	0	3	0.012888932	4	0.015370187	4	0.016485323	8	0.033789382	1	0.00341864	1	0.004477018	10	0.038580381	5	0.02070149	2	0.008273619	4	0.017955411	6	0.020474108	12	0.053158178
ENSMUSG00000089699	chr1	Gm1992	3466587	3513553	250	0	0	3	0.137477564	1	0.039539751	3	0.106091032	4	0.151717515	2	0.077742502	0	0	4	0.16481134	3	0.106518741	0	0	3	0.11421549	1	0.041311752	0	0	3	0.122306167
ENSMUSG00000103201	chr1	RP23-115I1.5	3512451	3514507	2057	14	0.062533068	4	0.022356248	9	0.043401505	7	0.030191439	4	0.018503934	2	0.009481714	10	0.038372485	13	0.065327916	8	0.034643608	10	0.046472733	6	0.027860144	12	0.060462097	6	0.022981142	6	0.029833671
ENSMUSG00000103147	chr1	RP23-115I1.2	3531795	3532720	926	9	0.089246223	2	0.024816159	11	0.117766184	5	0.047876392	9	0.092429845	4	0.042100039	5	0.042594701	3	0.033468969	2	0.019227763	10	0.103172474	1	0.010308554	7	0.078300699	6	0.051019622	5	0.055193901
ENSMUSG00000103161	chr1	RP23-115I1.3	3592892	3595903	3012	108	0.329497172	53	0.20233035	45	0.148224855	39	0.114893806	107	0.338091379	67	0.21695912	76	0.199195609	82	0.281459259	71	0.210008905	92	0.292033233	88	0.279100758	55	0.189282686	109	0.28516294	33	0.112076776
ENSMUSG00000102331	chr1	RP23-122M2.3	3647309	3658904	3259	41	0.115609447	23	0.081151123	29	0.088285229	38	0.103465875	43	0.125574167	19	0.056864109	52	0.125965334	51	0.161790641	29	0.079279133	67	0.196562552	18	0.052763352	29	0.092241792	27	0.065284771	26	0.081612479
ENSMUSG00000102348	chr1	RP23-122M2.2	3680155	3681788	1634	18	0.101200304	17	0.119595671	26	0.157820437	13	0.07057595	19	0.110633154	21	0.125315208	38	0.183540174	26	0.164458532	24	0.130819347	39	0.228134218	29	0.169495322	24	0.15220917	34	0.163918087	15	0.093880269
ENSMUSG00000102592	chr1	RP23-122M2.1	3752010	3754360	2351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
