Gene,transcript_length,NTG-7,NTG-8,NTG-9,NTG-10,AD-16,AD-17,AD-18,AD-19,AD-20,AD-CP2-21,AD-CP2-22,AD-CP2-23,AD-CP2-24,AD-CP2-25
RP23-271O17.1,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26206,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,6094,3947,3714,4221,5322,3492,4703,4190,3507,4490,4201,4008,4136,6185,4685
RP23-317L18.1,480,4,0,2,0,6,1,0,0,0,0,1,0,0,3
RP23-317L18.4,2819,22,18,12,8,15,13,11,20,4,20,25,10,8,18
RP23-317L18.3,2233,22,4,8,11,0,2,7,21,14,12,8,9,4,9
RP23-115I1.6,2309,2,0,3,4,4,8,1,1,10,5,2,4,6,12
Gm1992,250,0,3,1,3,4,2,0,4,3,0,3,1,0,3
RP23-115I1.5,2057,14,4,9,7,4,2,10,13,8,10,6,12,6,6
RP23-115I1.2,926,9,2,11,5,9,4,5,3,2,10,1,7,6,5
RP23-115I1.3,3012,108,53,45,39,107,67,76,82,71,92,88,55,109,33
RP23-122M2.3,3259,41,23,29,38,43,19,52,51,29,67,18,29,27,26
RP23-122M2.2,1634,18,17,26,13,19,21,38,26,24,39,29,24,34,15
RP23-122M2.1,2351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm27396,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-333I7.1,1364,3,0,4,3,2,3,4,1,2,5,7,0,1,2
RP23-177A20.1,1867,11,0,10,0,9,0,13,5,16,3,9,2,0,2
Rp1,9108,7,2,6,9,0,10,5,6,8,4,8,4,6,2
RP23-391E12.2,1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,4772,387,269,342,352,339,362,796,411,392,414,479,385,757,509
RP23-285G23.2,2917,2,4,11,10,20,8,18,6,5,7,10,2,14,15
RP23-285G23.3,2991,16,3,11,6,13,8,17,10,7,8,11,10,12,20
Gm22307,107,0,0,0,6,0,0,0,0,1,0,0,1,0,2
RP23-285G23.4,450,0,0,0,0,0,0,0,0,2,0,0,0,0,0
RP23-37D15.1,2773,4,0,0,0,0,0,2,0,2,0,0,1,0,2
RP23-37D15.2,936,0,0,0,3,1,0,2,0,2,3,0,0,2,0
Gm6085,1470,18,3,20,12,24,20,30,10,10,17,15,16,13,14
RP23-34E15.2,1206,0,1,2,3,1,0,8,0,0,2,1,0,1,0
Gm25493,103,0,2,0,2,0,0,5,3,2,4,0,1,0,0
RP23-34E15.3,631,6,0,1,0,0,0,0,2,0,2,0,0,0,1
RP23-34E15.4,1069,360,254,293,330,263,274,346,281,350,283,261,222,428,198
Mrpl15,8487,2143,1598,1927,2005,2215,2208,2714,1996,2009,2146,2119,1741,2321,1756
RP23-34E15.5,1150,21,16,38,32,58,56,85,66,41,68,53,16,48,43
Lypla1,7145,2979,2447,2391,2912,2366,2711,3721,2454,2969,2724,2916,2591,3426,2495
RP24-426M1.3,825,1935,1370,1540,1872,1724,1977,2183,1524,1816,1702,1742,1698,2292,1599
Tcea1,3017,7525,5722,6146,7128,7444,7685,9282,6231,7464,6665,6865,6432,8488,6040
Gm6104,603,102,81,86,93,160,82,110,84,84,86,90,103,105,81
RP24-426M1.4,1111,107,116,145,148,205,156,202,146,147,203,177,181,222,145
Rgs20,4239,1394,1161,1378,1582,2359,1345,1642,1482,1512,1578,1632,1407,1798,1228
Gm17100,272,2,0,4,3,6,0,2,2,0,4,0,3,2,6
RP24-141F9.2,2135,14,12,10,6,15,2,9,11,14,7,10,4,8,14
Gm16041,3725,23,34,38,21,31,24,23,32,22,18,18,13,25,40
Gm17101,1588,2,2,2,0,2,0,2,0,0,2,0,2,0,0
Atp6v1h,9746,15763,12623,13042,15091,14567,15732,18414,12797,14665,13134,14001,13273,17114,11543
RP23-267J18.2,732,0,0,0,2,1,0,0,1,0,0,0,0,0,0
RP23-267J18.1,2279,244,195,229,238,177,188,267,182,190,218,234,168,226,212
RP23-335P21.1,2032,0,0,2,0,0,0,0,0,0,0,0,0,1,0
Oprk1,9151,499,444,487,866,2523,820,970,653,588,845,807,775,871,640
RP23-238E7.2,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm22463,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-354J2.1,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
